year,global_anomaly,nh_anomaly,sh_anomaly,global_lower_ci,global_upper_ci
1923,-0.3145524,-0.2466628,-0.382442,-0.4202432,-0.2088616
1924,-0.3085025,-0.1847777,-0.4322273,-0.4140266,-0.2029783
1925,-0.2795984,-0.170152,-0.3890448,-0.387322,-0.1718748
1926,-0.1221284,-0.005042,-0.2392148,-0.2311145,-0.0131424
1927,-0.2258356,-0.1048626,-0.3468086,-0.3291501,-0.122521
1928,-0.208414,-0.0925425,-0.3242855,-0.3175625,-0.0992656
1929,-0.3903128,-0.3336491,-0.4469765,-0.4980455,-0.2825801
1930,-0.1698826,-0.0226838,-0.3170814,-0.2766309,-0.0631344
1931,-0.1058187,0.0372134,-0.2488508,-0.211439,-0.0001984
1932,-0.1499821,-0.0471027,-0.2528615,-0.2492407,-0.0507235
1933,-0.32831,-0.2780847,-0.3785351,-0.4236527,-0.2329672
1934,-0.1770463,-0.0583894,-0.2957033,-0.2725394,-0.0815532
1935,-0.2128696,-0.1018336,-0.3239056,-0.3051725,-0.1205667
1936,-0.1709721,-0.0656989,-0.2762453,-0.2663008,-0.0756434
1937,-0.0160476,0.124727,-0.1568222,-0.1096107,0.0775155
1938,-0.0128926,0.15404,-0.1798252,-0.1071672,0.081382
1939,-0.0418021,0.0484475,-0.1320517,-0.1363884,0.0527842
1940,0.0738254,0.1141488,0.033502,-0.0440063,0.191657
1941,0.0343529,0.0712869,-0.0025811,-0.1720913,0.2407971
1942,-0.0005112,0.0587816,-0.0598041,-0.2092455,0.2082231
1943,0.0063596,0.114915,-0.1021959,-0.1967993,0.2095184
1944,0.1446282,0.2235695,0.065687,-0.0603469,0.3496033
1945,0.0429056,0.0870938,-0.0012827,-0.1578707,0.2436819
1946,-0.1227355,-0.0115864,-0.2338847,-0.2647227,0.0192516
1947,-0.0959944,0.0426456,-0.2346345,-0.2307203,0.0387314
1948,-0.1291689,-0.0008652,-0.2574727,-0.2543938,-0.0039441
1949,-0.1538715,-0.070963,-0.2367801,-0.2677687,-0.0399744
1950,-0.2396562,-0.1967329,-0.2825796,-0.3411563,-0.1381562
1951,-0.0718808,0.0476597,-0.1914213,-0.1638078,0.0200462
1952,0.010809,0.0657824,-0.0441643,-0.0891787,0.1107967
1953,0.0769732,0.2045377,-0.0505914,-0.0221432,0.1760895
1954,-0.1175313,-0.0336037,-0.2014589,-0.2068761,-0.0281865
1955,-0.1986824,-0.12862,-0.2687449,-0.2887985,-0.1085663
1956,-0.2649682,-0.2825185,-0.2474179,-0.3414964,-0.18844
1957,-0.0349168,-0.035464,-0.0343695,-0.1020003,0.0321668
1958,-0.016475,0.0835357,-0.1164857,-0.0807204,0.0477704
1959,-0.0465269,0.0479469,-0.1410007,-0.1120547,0.019001
1960,-0.1133706,0.0025441,-0.2292853,-0.1688573,-0.0578838
1951,-0.0718808,0.0476597,-0.1914213,-0.1638078,0.0200462
1952,0.010809,0.0657824,-0.0441643,-0.0891787,0.1107967
1953,0.0769732,0.2045377,-0.0505914,-0.0221432,0.1760895
1954,-0.1175313,-0.0336037,-0.2014589,-0.2068761,-0.0281865
1955,-0.1986824,-0.12862,-0.2687449,-0.2887985,-0.1085663
1956,-0.2649682,-0.2825185,-0.2474179,-0.3414964,-0.18844
1957,-0.0349168,-0.035464,-0.0343695,-0.1020003,0.0321668
1958,-0.016475,0.0835357,-0.1164857,-0.0807204,0.0477704
